Date,Name,Year,Letterboxd URI
2021-04-19,Jojo Rabbit,2019,https://boxd.it/iEBG
2021-04-19,Uncut Gems,2019,https://boxd.it/gXGc
2021-04-19,Batman Begins,2005,https://boxd.it/2aIg
2021-04-19,Saving Private Ryan,1998,https://boxd.it/29ro
2021-04-19,Sorry to Bother You,2018,https://boxd.it/f21E
2021-04-19,12 Years a Slave,2013,https://boxd.it/2D2e
2021-04-19,Being John Malkovich,1999,https://boxd.it/2ahu
2021-04-19,The Godfather: Part II,1974,https://boxd.it/2aNq
2021-04-19,The Shawshank Redemption,1994,https://boxd.it/2aHi
2021-04-19,GoodFellas,1990,https://boxd.it/29FA
2021-04-19,Schindler's List,1993,https://boxd.it/2aq2
2021-04-19,2001: A Space Odyssey,1968,https://boxd.it/2bf0
2021-04-19,The Silence of the Lambs,1991,https://boxd.it/2aHW
2021-04-19,Memories of Murder,2003,https://boxd.it/1TSo
2021-04-19,Casablanca,1942,https://boxd.it/2aG0
2021-04-19,22 Jump Street,2014,https://boxd.it/5Fvy
2021-04-19,Semi-Pro,2008,https://boxd.it/1Qw0
2021-04-19,The 40 Year Old Virgin,2005,https://boxd.it/21hK
2021-04-19,Bruce Almighty,2003,https://boxd.it/2aCC
2021-04-19,The Social Network,2010,https://boxd.it/17ue
2021-04-19,Deadpool 2,2018,https://boxd.it/dlLM
2021-04-19,John Wick,2014,https://boxd.it/7dEc
2021-04-19,1917,2019,https://boxd.it/jj4y
2021-04-19,Marriage Story,2019,https://boxd.it/hJAw
2021-04-19,It,2017,https://boxd.it/bC8e
2021-04-19,Blade Runner,1982,https://boxd.it/2bcA
2021-04-19,The Irishman,2019,https://boxd.it/dYOq
2021-04-19,Logan,2017,https://boxd.it/7Piy
2021-04-19,Dead Poets Society,1989,https://boxd.it/2aSg
2021-04-19,Gravity,2013,https://boxd.it/GZY
2021-04-19,The Devil All the Time,2020,https://boxd.it/i2tY
2021-04-19,Cherry,2021,https://boxd.it/jRhm
2021-04-21,Gladiator,2000,https://boxd.it/2b9m
2021-04-21,Psycho,1960,https://boxd.it/2ab2
2021-04-21,Braveheart,1995,https://boxd.it/2aTI
2021-04-21,Dial M for Murder,1954,https://boxd.it/2adW
2021-04-21,Fargo,1996,https://boxd.it/2aHM
2021-04-21,The Deer Hunter,1978,https://boxd.it/1T6O
2021-04-21,Hacksaw Ridge,2016,https://boxd.it/azew
2021-04-30,This Is England,2006,https://boxd.it/1T44
2021-05-30,Freaks,2018,https://boxd.it/jFUm
2021-05-30,Forgotten,2017,https://boxd.it/hAJE
2021-05-30,Synchronic,2019,https://boxd.it/k3M2
2021-05-30,I Am Mother,2019,https://boxd.it/ihNE
2021-05-30,The Invisible Guest,2016,https://boxd.it/euce
